Ilosc krawedzi 108 Ilosc wierzcholkow 30 Wierzcholek startowy 20
Cel	Dystans	Sciezka	
0	7604		0<-1<-27<-18<-19<-20
1	1874		1<-27<-18<-19<-20
2	2491		2<-28<-16<-27<-18<-19<-20
3	4159		3<-2<-28<-16<-27<-18<-19<-20
4	697		4<-27<-18<-19<-20
5	4806		5<-27<-18<-19<-20
6	1260		6<-27<-18<-19<-20
7	450		7<-27<-18<-19<-20
8	1040		8<-7<-27<-18<-19<-20
9	1350		9<-8<-7<-27<-18<-19<-20
10	1769		10<-28<-16<-27<-18<-19<-20
11	2279		11<-28<-16<-27<-18<-19<-20
12	6910		12<-13<-27<-18<-19<-20
13	1433		13<-27<-18<-19<-20
14	2441		14<-15<-27<-18<-19<-20
15	712		15<-27<-18<-19<-20
16	429		16<-27<-18<-19<-20
17	4869		17<-27<-18<-19<-20
18	116		18<-19<-20
19	40		19<-20
20	0		20
21	3500		21<-28<-16<-27<-18<-19<-20
22	4326		22<-23<-27<-18<-19<-20
23	3908		23<-27<-18<-19<-20
24	6473		24<-25<-28<-16<-27<-18<-19<-20
25	3345		25<-28<-16<-27<-18<-19<-20
26	5611		26<-28<-16<-27<-18<-19<-20
27	161		27<-18<-19<-20
28	1276		28<-16<-27<-18<-19<-20
29	1424		29<-16<-27<-18<-19<-20
Ilosc krawedzi 108 Ilosc wierzcholkow 30 Wierzcholek startowy 2
Cel	Dystans	Sciezka	
0	2890		0<-28<-3<-2
1	3451		1<-0<-28<-3<-2
2	0		2
3	2644		3<-2
4	5121		4<-3<-2
5	5187		5<-6<-29<-0<-28<-3<-2
6	3501		6<-29<-0<-28<-3<-2
7	4317		7<-28<-3<-2
8	4087		8<-9<-28<-3<-2
9	2947		9<-28<-3<-2
10	3505		10<-9<-28<-3<-2
11	3556		11<-28<-3<-2
12	7180		12<-29<-0<-28<-3<-2
13	5161		13<-29<-0<-28<-3<-2
14	4885		14<-28<-3<-2
15	6324		15<-29<-0<-28<-3<-2
16	6701		16<-15<-29<-0<-28<-3<-2
17	4600		17<-18<-27<-3<-2
18	3776		18<-27<-3<-2
19	4483		19<-20<-27<-3<-2
20	4257		20<-27<-3<-2
21	5403		21<-29<-0<-28<-3<-2
22	8242		22<-23<-29<-0<-28<-3<-2
23	3262		23<-29<-0<-28<-3<-2
24	4263		24<-23<-29<-0<-28<-3<-2
25	10126		25<-29<-0<-28<-3<-2
26	7613		26<-29<-0<-28<-3<-2
27	3437		27<-3<-2
28	2826		28<-3<-2
29	3009		29<-0<-28<-3<-2
Ilosc krawedzi 108 Ilosc wierzcholkow 30 Wierzcholek startowy 0
Cel	Dystans	Sciezka	
0	0		0
1	3738		1<-0
2	5195		2<-27<-0
3	3985		3<-27<-0
4	3254		4<-29<-0
5	3060		5<-29<-0
6	5264		6<-29<-0
7	4957		7<-27<-0
8	3639		8<-29<-0
9	5845		9<-27<-0
10	4484		10<-29<-0
11	6034		11<-29<-0
12	6056		12<-28<-5<-29<-0
13	4295		13<-28<-5<-29<-0
14	5500		14<-29<-0
15	5066		15<-16<-29<-0
16	3922		16<-29<-0
17	2995		17<-29<-0
18	2955		18<-27<-0
19	3961		19<-29<-0
20	7890		20<-29<-0
21	8717		21<-27<-0
22	5454		22<-29<-0
